#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.18322  0.14702 -0.05314 -0.97270  0.000332  0.000134  0.001961     2.476
   1.19822  0.16195 -0.05459 -0.98387  0.000354  0.000142  0.001843     2.488
   1.21349  0.17716 -0.05585 -0.99327  0.000375  0.000150  0.001739     2.499
   1.22897  0.19261 -0.05693 -1.00148  0.000395  0.000158  0.001655     2.506
   1.24463  0.20824 -0.05782 -1.00805  0.000417  0.000165  0.001558     2.519
   1.26043  0.22403 -0.05855 -1.01397  0.000437  0.000173  0.001490     2.524
   1.27637  0.23995 -0.05913 -1.01878  0.000457  0.000180  0.001415     2.535
   1.29241  0.25599 -0.05955 -1.02219  0.000481  0.000188  0.001326     2.553
   1.30855  0.27212 -0.05983 -1.02583  0.000499  0.000195  0.001285     2.552
   1.32477  0.28835 -0.05998 -1.02833  0.000521  0.000203  0.001217     2.566
   1.34107  0.30465 -0.06000 -1.03021  0.000542  0.000210  0.001155     2.578
   1.35744  0.32102 -0.05991 -1.03204  0.000562  0.000217  0.001113     2.582
   1.37387  0.33745 -0.05970 -1.03339  0.000582  0.000225  0.001067     2.590
   1.39036  0.35394 -0.05938 -1.03400  0.000605  0.000232  0.001011     2.605
   1.40691  0.37047 -0.05897 -1.03464  0.000624  0.000239  0.000972     2.612
   1.42350  0.38706 -0.05846 -1.03493  0.000645  0.000246  0.000932     2.621
   1.44014  0.40368 -0.05786 -1.03497  0.000666  0.000253  0.000894     2.630
   1.45681  0.42035 -0.05717 -1.03471  0.000688  0.000260  0.000856     2.641
   1.47353  0.43705 -0.05640 -1.03444  0.000708  0.000267  0.000825     2.648
   1.49028  0.45378 -0.05556 -1.03390  0.000729  0.000274  0.000792     2.657
   1.50707  0.47054 -0.05464 -1.03315  0.000751  0.000281  0.000759     2.668
   1.52388  0.48732 -0.05365 -1.03231  0.000772  0.000288  0.000730     2.678
   1.54072  0.50413 -0.05260 -1.03140  0.000793  0.000295  0.000703     2.686
   1.55759  0.52096 -0.05148 -1.03037  0.000814  0.000302  0.000677     2.695
   1.57448  0.53781 -0.05030 -1.02912  0.000836  0.000309  0.000649     2.707
   1.59139  0.55468 -0.04906 -1.02801  0.000856  0.000316  0.000629     2.713
   1.60832  0.57156 -0.04777 -1.02663  0.000879  0.000323  0.000603     2.724
   1.62527  0.58845 -0.04642 -1.02522  0.000901  0.000329  0.000580     2.735
   1.64224  0.60536 -0.04502 -1.02373  0.000923  0.000336  0.000558     2.746
   1.65922  0.62228 -0.04357 -1.02214  0.000946  0.000343  0.000536     2.758
   1.67621  0.63921 -0.04208 -1.02054  0.000969  0.000350  0.000515     2.768
   1.69322  0.65614 -0.04054 -1.01882  0.000992  0.000357  0.000494     2.781
   1.71023  0.67308 -0.03895 -1.01705  0.001016  0.000364  0.000474     2.794
   1.72725  0.69002 -0.03732 -1.01513  0.001042  0.000371  0.000452     2.811
   1.74428  0.70697 -0.03564 -1.01321  0.001067  0.000378  0.000432     2.825
   1.76131  0.72392 -0.03393 -1.01107  0.001096  0.000385  0.000409     2.846
   1.77835  0.74086 -0.03217 -1.00895  0.001124  0.000392  0.000388     2.865
   1.79539  0.75781 -0.03037 -1.00658  0.001157  0.000400  0.000363     2.892
   1.81243  0.77475 -0.02853 -1.00419  0.001189  0.000407  0.000340     2.918
   1.82946  0.79168 -0.02665 -1.00155  0.001227  0.000415  0.000312     2.954
   1.84650  0.80860 -0.02474 -0.99882  0.001268  0.000423  0.000285     2.993
   1.86352  0.82551 -0.02278 -0.99593  0.001313  0.000432  0.000255     3.041
   1.88053  0.84241 -0.02078 -0.99281  0.001368  0.000441  0.000221     3.104
   1.89753  0.85928 -0.01874 -0.98961  0.001428  0.000450  0.000187     3.176
   1.91448  0.87610 -0.01667 -0.98634  0.001498  0.000459  0.000151     3.264
   1.93135  0.89284 -0.01456 -0.98305  0.001578  0.000468  0.000114     3.372
   1.94809  0.90945 -0.01243 -0.97995  0.001661  0.000477  0.000082     3.483
   1.96459  0.92581 -0.01029 -0.97710  0.001740  0.000485  0.000056     3.587
   1.98062  0.94170 -0.00817 -0.97470  0.001782  0.000492  0.000048     3.622
   1.99587  0.95681 -0.00611 -0.96706  0.001721  0.000514  0.000107     3.350
   2.00992  0.97073 -0.00418 -0.93940  0.001497  0.000594  0.000594     2.522
   2.02239  0.98307 -0.00243 -0.91777  0.001385  0.000661  0.001139     2.095
   2.03317  0.99374 -0.00091 -0.89617  0.001414  0.000734  0.001399     1.926
   2.03947  0.99997 -0.00000 -0.84538  0.002105  0.000932  0.000666     2.259
   2.03947  1.00007 -0.00000  0.84538  0.014474  0.006640  0.000000     2.180
   2.04576  1.00637  0.00001  0.86245  0.011981  0.006132  0.000000     1.954
   2.05315  1.01376  0.00006  0.87359  0.010748  0.005840  0.000000     1.840
   2.06182  1.02242  0.00014  0.88483  0.009732  0.005570  0.000000     1.747
   2.07198  1.03259  0.00025  0.89583  0.008887  0.005327  0.000000     1.668
   2.08390  1.04450  0.00041  0.90646  0.008174  0.005110  0.000000     1.600
   2.09788  1.05848  0.00064  0.91652  0.007569  0.004918  0.000000     1.539
   2.11427  1.07487  0.00094  0.92589  0.007053  0.004750  0.000000     1.485
   2.13350  1.09409  0.00133  0.93449  0.006610  0.004605  0.000000     1.435
   2.15604  1.11664  0.00185  0.94233  0.006227  0.004480  0.000000     1.390
   2.18249  1.14307  0.00253  0.94945  0.005893  0.004371  0.000000     1.348
   2.21351  1.17408  0.00340  0.95589  0.005602  0.004277  0.000000     1.310
   2.24988  1.21044  0.00452  0.96172  0.005346  0.004195  0.000000     1.274
   2.29255  1.25308  0.00595  0.96697  0.005123  0.004124  0.000000     1.242
   2.34258  1.30308  0.00777  0.97169  0.004928  0.004062  0.000000     1.213
   2.40127  1.36172  0.01007  0.97590  0.004759  0.004008  0.000000     1.187
   2.47009  1.43048  0.01297  0.97965  0.004615  0.003961  0.000000     1.165
   2.55081  1.51112  0.01661  0.98295  0.004494  0.003921  0.000000     1.146
   2.64548  1.60567  0.02115  0.98583  0.004391  0.003887  0.000000     1.130
   2.75650  1.71656  0.02681  0.98832  0.004307  0.003857  0.000000     1.117
   2.88672  1.84658  0.03383  0.99044  0.004238  0.003833  0.000000     1.106
   3.03944  1.99906  0.04250  0.99240  0.004180  0.003810  0.000000     1.097
