#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  0.99997  0.00000  0.84538  0.012361  0.005708  0.000459     2.165
   0.00630  0.99374  0.00091  0.85940  0.010811  0.005342  0.000619     2.024
   0.01708  0.98307  0.00243  0.87553  0.009519  0.004965  0.000788     1.917
   0.02954  0.97073  0.00418  0.89314  0.008419  0.004599  0.000969     1.831
   0.04360  0.95680  0.00611  0.91141  0.007505  0.004258  0.001155     1.762
   0.05884  0.94170  0.00817  0.92969  0.006751  0.003951  0.001341     1.708
   0.07488  0.92581  0.01029  0.94689  0.006151  0.003688  0.001514     1.668
   0.09138  0.90945  0.01243  0.96300  0.005662  0.003460  0.001675     1.636
   0.10812  0.89284  0.01456  0.97763  0.005269  0.003267  0.001820     1.613
   0.12499  0.87610  0.01667  0.99119  0.004938  0.003098  0.001954     1.594
   0.14194  0.85928  0.01874  1.00362  0.004660  0.002950  0.002074     1.580
   0.15893  0.84241  0.02078  1.01516  0.004421  0.002818  0.002185     1.569
   0.17594  0.82551  0.02278  1.02604  0.004208  0.002699  0.002289     1.559
   0.19297  0.80860  0.02474  1.03625  0.004020  0.002591  0.002386     1.552
   0.21000  0.79168  0.02665  1.04592  0.003851  0.002491  0.002476     1.546
   0.22704  0.77475  0.02853  1.05526  0.003694  0.002397  0.002563     1.541
   0.24408  0.75781  0.03037  1.06418  0.003551  0.002310  0.002646     1.537
   0.26112  0.74086  0.03217  1.07296  0.003415  0.002226  0.002727     1.534
   0.27815  0.72392  0.03393  1.08143  0.003288  0.002148  0.002805     1.531
   0.29519  0.70697  0.03564  1.08975  0.003168  0.002072  0.002882     1.529
   0.31221  0.69002  0.03732  1.09799  0.003053  0.001999  0.002958     1.527
   0.32924  0.67308  0.03895  1.10608  0.002944  0.001929  0.003033     1.526
   0.34625  0.65614  0.04054  1.11408  0.002839  0.001862  0.003107     1.525
   0.36325  0.63921  0.04208  1.12209  0.002737  0.001796  0.003182     1.524
   0.38025  0.62228  0.04357  1.13012  0.002639  0.001732  0.003258     1.524
   0.39723  0.60536  0.04502  1.13811  0.002543  0.001669  0.003334     1.524
   0.41419  0.58845  0.04642  1.14614  0.002450  0.001608  0.003411     1.524
   0.43114  0.57156  0.04777  1.15413  0.002360  0.001549  0.003488     1.524
   0.44807  0.55468  0.04906  1.16236  0.002270  0.001490  0.003570     1.524
   0.46499  0.53781  0.05030  1.17039  0.002185  0.001433  0.003648     1.525
   0.48188  0.52096  0.05148  1.17887  0.002098  0.001376  0.003735     1.525
   0.49875  0.50413  0.05260  1.18723  0.002015  0.001321  0.003821     1.526
   0.51559  0.48732  0.05365  1.19571  0.001934  0.001266  0.003909     1.527
   0.53240  0.47053  0.05464  1.20427  0.001854  0.001213  0.003999     1.528
   0.54919  0.45378  0.05556  1.21322  0.001773  0.001160  0.004097     1.529
   0.56594  0.43705  0.05640  1.22219  0.001695  0.001107  0.004196     1.531
   0.58265  0.42035  0.05717  1.23113  0.001620  0.001057  0.004295     1.533
   0.59933  0.40368  0.05786  1.24065  0.001543  0.001006  0.004406     1.534
   0.61597  0.38706  0.05846  1.24998  0.001469  0.000956  0.004514     1.536
   0.63256  0.37047  0.05897  1.25969  0.001396  0.000907  0.004631     1.538
   0.64910  0.35393  0.05938  1.26976  0.001323  0.000859  0.004757     1.541
   0.66559  0.33745  0.05970  1.27969  0.001253  0.000812  0.004881     1.543
   0.68203  0.32102  0.05991  1.29066  0.001180  0.000763  0.005030     1.545
   0.69840  0.30465  0.06000  1.30086  0.001112  0.000718  0.005164     1.549
   0.71470  0.28835  0.05998  1.31223  0.001042  0.000672  0.005327     1.552
   0.73092  0.27212  0.05983  1.32371  0.000974  0.000626  0.005499     1.555
   0.74706  0.25599  0.05955  1.33560  0.000906  0.000582  0.005687     1.558
   0.76310  0.23995  0.05913  1.34758  0.000840  0.000538  0.005886     1.561
   0.77903  0.22403  0.05855  1.35998  0.000774  0.000495  0.006108     1.564
   0.79484  0.20824  0.05782  1.37344  0.000707  0.000451  0.006377     1.566
   0.81050  0.19261  0.05693  1.38693  0.000641  0.000409  0.006677     1.568
   0.82598  0.17716  0.05585  1.40113  0.000575  0.000367  0.007037     1.568
   0.84125  0.16195  0.05459  1.41597  0.000510  0.000325  0.007467     1.567
   0.85624  0.14702  0.05314  1.43056  0.000447  0.000285  0.007916     1.570
   0.87090  0.13246  0.05150  1.44614  0.000388  0.000244  0.008243     1.588
   0.88510  0.11837  0.04966  1.46081  0.000352  0.000208  0.007544     1.689
   0.89872  0.10491  0.04764  1.48054  0.000369  0.000179  0.004512     2.061
   0.91160  0.09221  0.04546  1.52567  0.000496  0.000150  0.000812     3.305
   0.92357  0.08047  0.04317  1.54408  0.000492  0.000139  0.000536     3.527
   0.93449  0.06980  0.04082  1.56417  0.000456  0.000129  0.000578     3.538
   0.94429  0.06029  0.03845  1.58586  0.000413  0.000119  0.000752     3.477
   0.95298  0.05192  0.03612  1.60793  0.000373  0.000109  0.000957     3.422
   0.96063  0.04461  0.03385  1.63036  0.000335  0.000100  0.001240     3.354
   0.96736  0.03825  0.03165  1.65272  0.000301  0.000091  0.001593     3.286
   0.97329  0.03272  0.02953  1.67493  0.000268  0.000084  0.002079     3.206
   0.97853  0.02789  0.02748  1.69629  0.000238  0.000076  0.002690     3.124
   0.98321  0.02365  0.02549  1.71549  0.000216  0.000070  0.003163     3.093
   0.98741  0.01992  0.02356  1.73559  0.000189  0.000063  0.004213     2.990
   0.99121  0.01663  0.02166  1.75070  0.000170  0.000058  0.004986     2.951
   0.99468  0.01372  0.01979  1.76476  0.000149  0.000052  0.006374     2.865
   0.99786  0.01114  0.01793  1.77162  0.000133  0.000047  0.007504     2.825
   1.00079  0.00886  0.01608  1.77423  0.000117  0.000042  0.009099     2.766
   1.00352  0.00686  0.01422  1.76781  0.000103  0.000038  0.010995     2.705
   1.00607  0.00512  0.01236  1.74738  0.000089  0.000034  0.013655     2.615
   1.00847  0.00364  0.01047  1.70405  0.000080  0.000031  0.015241     2.578
   1.01073  0.00241  0.00857  1.64467  0.000070  0.000028  0.017162     2.526
   1.01289  0.00144  0.00665  1.55866  0.000062  0.000025  0.019421     2.447
   1.01494  0.00072  0.00472  1.44001  0.000057  0.000024  0.019810     2.403
   1.01691  0.00025  0.00281  1.30150  0.000053  0.000022  0.019598     2.355
   1.01881  0.00003  0.00092  1.14314  0.000050  0.000022  0.018547     2.299
   1.02066  0.00003 -0.00092  0.97890  0.000050  0.000022  0.015602     2.298
   1.02255  0.00025 -0.00281  0.80936  0.000048  0.000021  0.013689     2.243
   1.02452  0.00072 -0.00472  0.63276  0.000050  0.000022  0.010022     2.260
   1.02658  0.00144 -0.00665  0.45906  0.000050  0.000023  0.007523     2.196
   1.02873  0.00241 -0.00857  0.29761  0.000056  0.000025  0.004117     2.255
   1.03100  0.00364 -0.01047  0.15227  0.000054  0.000024  0.002241     2.222
   1.03340  0.00512 -0.01236  0.01558  0.000068  0.000030  0.000182     2.230
   1.03595  0.00686 -0.01422 -0.09339  0.000068  0.000030  0.001087     2.230
   1.03867  0.00886 -0.01608 -0.20338  0.000071  0.000032  0.002252     2.241
   1.04161  0.01114 -0.01793 -0.29162  0.000083  0.000036  0.002636     2.291
   1.04479  0.01372 -0.01979 -0.37095  0.000087  0.000039  0.003338     2.244
   1.04825  0.01663 -0.02166 -0.44332  0.000097  0.000042  0.003444     2.297
   1.05205  0.01992 -0.02356 -0.50666  0.000105  0.000046  0.003666     2.292
   1.05625  0.02365 -0.02549 -0.56526  0.000114  0.000049  0.003716     2.308
   1.06093  0.02789 -0.02748 -0.61597  0.000126  0.000054  0.003593     2.334
   1.06618  0.03272 -0.02953 -0.66581  0.000134  0.000058  0.003712     2.319
   1.07211  0.03825 -0.03165 -0.70922  0.000149  0.000063  0.003428     2.363
   1.07883  0.04461 -0.03385 -0.74929  0.000162  0.000069  0.003364     2.361
   1.08648  0.05192 -0.03612 -0.78624  0.000177  0.000074  0.003181     2.380
   1.09518  0.06029 -0.03845 -0.82076  0.000192  0.000081  0.003049     2.387
   1.10498  0.06980 -0.04082 -0.85181  0.000210  0.000088  0.002856     2.405
   1.11590  0.08047 -0.04317 -0.87976  0.000229  0.000095  0.002694     2.416
   1.12787  0.09222 -0.04546 -0.90394  0.000249  0.000102  0.002507     2.433
   1.14075  0.10491 -0.04764 -0.92557  0.000269  0.000110  0.002373     2.440
   1.15437  0.11838 -0.04966 -0.94385  0.000290  0.000118  0.002213     2.455
   1.16857  0.13246 -0.05150 -0.95931  0.000312  0.000126  0.002075     2.467
