#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  0.99997  0.00000  0.84940  0.012019  0.005675  0.000513     2.118
   0.00630  0.99374  0.00091  0.86415  0.010494  0.005297  0.000687     1.981
   0.01708  0.98307  0.00243  0.88058  0.009252  0.004920  0.000865     1.881
   0.02954  0.97073  0.00418  0.89827  0.008200  0.004557  0.001054     1.799
   0.04360  0.95680  0.00611  0.91640  0.007329  0.004224  0.001246     1.735
   0.05884  0.94170  0.00817  0.93439  0.006611  0.003924  0.001436     1.685
   0.07488  0.92581  0.01029  0.95119  0.006040  0.003668  0.001612     1.647
   0.09138  0.90945  0.01243  0.96687  0.005573  0.003447  0.001776     1.617
   0.10812  0.89284  0.01456  0.98108  0.005195  0.003258  0.001922     1.595
   0.12499  0.87610  0.01667  0.99424  0.004877  0.003093  0.002057     1.577
   0.14194  0.85928  0.01874  1.00629  0.004609  0.002948  0.002180     1.563
   0.15893  0.84241  0.02078  1.01748  0.004377  0.002819  0.002292     1.552
   0.17594  0.82551  0.02278  1.02805  0.004170  0.002702  0.002398     1.543
   0.19297  0.80860  0.02474  1.03795  0.003986  0.002595  0.002496     1.536
   0.21000  0.79168  0.02665  1.04734  0.003820  0.002496  0.002588     1.530
   0.22704  0.77475  0.02853  1.05641  0.003666  0.002403  0.002677     1.526
   0.24408  0.75781  0.03037  1.06508  0.003525  0.002317  0.002761     1.522
   0.26112  0.74086  0.03217  1.07361  0.003391  0.002234  0.002844     1.518
   0.27815  0.72392  0.03393  1.08184  0.003267  0.002155  0.002924     1.516
   0.29519  0.70697  0.03564  1.08993  0.003148  0.002080  0.003003     1.514
   0.31221  0.69002  0.03732  1.09794  0.003034  0.002007  0.003082     1.512
   0.32924  0.67308  0.03895  1.10581  0.002925  0.001937  0.003159     1.510
   0.34625  0.65614  0.04054  1.11358  0.002821  0.001869  0.003235     1.509
   0.36325  0.63921  0.04208  1.12138  0.002720  0.001803  0.003312     1.508
   0.38025  0.62228  0.04357  1.12918  0.002622  0.001739  0.003391     1.508
   0.39723  0.60536  0.04502  1.13695  0.002527  0.001676  0.003469     1.507
   0.41419  0.58845  0.04642  1.14476  0.002434  0.001615  0.003549     1.507
   0.43114  0.57156  0.04777  1.15253  0.002344  0.001555  0.003629     1.507
   0.44807  0.55468  0.04906  1.16053  0.002255  0.001496  0.003714     1.507
   0.46499  0.53781  0.05030  1.16833  0.002170  0.001439  0.003796     1.508
   0.48188  0.52096  0.05148  1.17657  0.002083  0.001381  0.003886     1.508
   0.49875  0.50413  0.05260  1.18470  0.002000  0.001326  0.003975     1.509
   0.51559  0.48732  0.05365  1.19294  0.001918  0.001271  0.004067     1.510
   0.53240  0.47053  0.05464  1.20125  0.001838  0.001217  0.004161     1.511
   0.54919  0.45378  0.05556  1.20994  0.001758  0.001163  0.004263     1.512
   0.56594  0.43705  0.05640  1.21865  0.001680  0.001111  0.004367     1.513
   0.58265  0.42035  0.05717  1.22733  0.001604  0.001059  0.004470     1.514
   0.59933  0.40368  0.05786  1.23655  0.001527  0.001008  0.004587     1.515
   0.61597  0.38706  0.05846  1.24561  0.001453  0.000958  0.004701     1.517
   0.63256  0.37047  0.05897  1.25501  0.001380  0.000908  0.004824     1.519
   0.64910  0.35393  0.05938  1.26476  0.001306  0.000859  0.004957     1.521
   0.66559  0.33745  0.05970  1.27438  0.001236  0.000811  0.005089     1.523
   0.68203  0.32102  0.05991  1.28499  0.001163  0.000762  0.005248     1.525
   0.69840  0.30465  0.06000  1.29485  0.001094  0.000716  0.005393     1.528
   0.71470  0.28835  0.05998  1.30583  0.001024  0.000669  0.005570     1.530
   0.73092  0.27212  0.05983  1.31692  0.000955  0.000623  0.005759     1.532
   0.74706  0.25599  0.05955  1.32837  0.000886  0.000578  0.005968     1.533
   0.76310  0.23995  0.05913  1.33990  0.000819  0.000533  0.006193     1.535
   0.77903  0.22403  0.05855  1.35179  0.000752  0.000489  0.006448     1.537
   0.79484  0.20824  0.05782  1.36465  0.000684  0.000445  0.006759     1.536
   0.81050  0.19261  0.05693  1.37744  0.000617  0.000402  0.007107     1.536
   0.82598  0.17716  0.05585  1.39084  0.000550  0.000359  0.007515     1.535
   0.84125  0.16195  0.05459  1.40452  0.000486  0.000316  0.007940     1.537
   0.85624  0.14702  0.05314  1.41764  0.000429  0.000275  0.008156     1.560
   0.87090  0.13246  0.05150  1.43199  0.000393  0.000237  0.007442     1.659
   0.88510  0.11837  0.04966  1.44932  0.000416  0.000206  0.004488     2.018
   0.89872  0.10491  0.04764  1.49030  0.000548  0.000175  0.000993     3.139
   0.91160  0.09221  0.04546  1.50883  0.000553  0.000162  0.000600     3.418
   0.92357  0.08047  0.04317  1.52702  0.000521  0.000150  0.000584     3.465
   0.93449  0.06980  0.04082  1.54731  0.000476  0.000139  0.000706     3.431
   0.94429  0.06029  0.03845  1.56863  0.000429  0.000128  0.000924     3.363
   0.95298  0.05192  0.03612  1.59010  0.000388  0.000117  0.001160     3.309
   0.96063  0.04461  0.03385  1.61178  0.000349  0.000107  0.001472     3.247
   0.96736  0.03825  0.03165  1.63327  0.000313  0.000098  0.001846     3.187
   0.97329  0.03272  0.02953  1.65464  0.000280  0.000090  0.002367     3.113
   0.97853  0.02789  0.02748  1.67509  0.000249  0.000082  0.003007     3.039
   0.98321  0.02365  0.02549  1.69350  0.000226  0.000075  0.003515     3.009
   0.98741  0.01992  0.02356  1.71276  0.000198  0.000068  0.004611     2.914
   0.99121  0.01663  0.02166  1.72733  0.000178  0.000062  0.005439     2.876
   0.99468  0.01372  0.01979  1.74087  0.000157  0.000056  0.006885     2.795
   0.99786  0.01114  0.01793  1.74773  0.000140  0.000051  0.008077     2.758
   1.00079  0.00886  0.01608  1.75067  0.000124  0.000046  0.009765     2.701
   1.00352  0.00686  0.01422  1.74510  0.000109  0.000041  0.011731     2.645
   1.00607  0.00512  0.01236  1.72670  0.000094  0.000037  0.014539     2.560
   1.00847  0.00364  0.01047  1.68654  0.000084  0.000033  0.016228     2.526
   1.01073  0.00241  0.00857  1.63111  0.000075  0.000030  0.018269     2.480
   1.01289  0.00144  0.00665  1.55022  0.000066  0.000028  0.020688     2.409
   1.01494  0.00072  0.00472  1.43737  0.000061  0.000026  0.021184     2.371
   1.01691  0.00025  0.00281  1.30421  0.000057  0.000024  0.021008     2.331
   1.01881  0.00003  0.00092  1.15061  0.000054  0.000024  0.019981     2.282
   1.02066  0.00003 -0.00092  0.98969  0.000054  0.000023  0.016888     2.287
   1.02255  0.00025 -0.00281  0.82188  0.000052  0.000023  0.014926     2.234
   1.02452  0.00072 -0.00472  0.64595  0.000054  0.000024  0.010948     2.257
   1.02658  0.00144 -0.00665  0.47160  0.000054  0.000025  0.008336     2.191
   1.02873  0.00241 -0.00857  0.30882  0.000061  0.000027  0.004567     2.258
   1.03100  0.00364 -0.01047  0.16195  0.000058  0.000026  0.002575     2.217
   1.03340  0.00512 -0.01236  0.02338  0.000073  0.000033  0.000293     2.230
   1.03595  0.00686 -0.01422 -0.08686  0.000073  0.000033  0.001088     2.230
   1.03867  0.00886 -0.01608 -0.19846  0.000076  0.000034  0.002369     2.239
   1.04161  0.01114 -0.01793 -0.28782  0.000090  0.000039  0.002794     2.290
   1.04479  0.01372 -0.01979 -0.36769  0.000094  0.000042  0.003553     2.241
   1.04825  0.01663 -0.02166 -0.44102  0.000104  0.000045  0.003697     2.291
   1.05205  0.01992 -0.02356 -0.50479  0.000113  0.000049  0.003917     2.289
   1.05625  0.02365 -0.02549 -0.56374  0.000123  0.000053  0.003990     2.302
   1.06093  0.02789 -0.02748 -0.61465  0.000136  0.000058  0.003850     2.329
   1.06618  0.03272 -0.02953 -0.66476  0.000145  0.000063  0.003991     2.311
   1.07211  0.03825 -0.03165 -0.70817  0.000161  0.000068  0.003674     2.356
   1.07883  0.04461 -0.03385 -0.74834  0.000174  0.000074  0.003618     2.351
   1.08648  0.05192 -0.03612 -0.78525  0.000191  0.000081  0.003413     2.370
   1.09518  0.06029 -0.03845 -0.81963  0.000207  0.000087  0.003272     2.376
   1.10498  0.06980 -0.04082 -0.85062  0.000226  0.000095  0.003069     2.393
   1.11590  0.08047 -0.04317 -0.87838  0.000246  0.000102  0.002890     2.404
   1.12787  0.09222 -0.04546 -0.90247  0.000268  0.000111  0.002694     2.419
   1.14075  0.10491 -0.04764 -0.92394  0.000289  0.000119  0.002548     2.426
   1.15437  0.11838 -0.04966 -0.94210  0.000312  0.000128  0.002377     2.440
   1.16857  0.13246 -0.05150 -0.95744  0.000335  0.000137  0.002228     2.452
   1.18322  0.14702 -0.05314 -0.97069  0.000357  0.000145  0.002106     2.460
   1.19822  0.16195 -0.05459 -0.98179  0.000380  0.000154  0.001981     2.471
   1.21349  0.17716 -0.05585 -0.99110  0.000403  0.000162  0.001869     2.482
   1.22897  0.19261 -0.05693 -0.99921  0.000424  0.000170  0.001777     2.488
   1.24463  0.20824 -0.05782 -1.00575  0.000448  0.000179  0.001675     2.501
   1.26043  0.22403 -0.05855 -1.01160  0.000469  0.000187  0.001601     2.507
   1.27637  0.23995 -0.05913 -1.01640  0.000491  0.000195  0.001522     2.516
   1.29241  0.25599 -0.05955 -1.01977  0.000516  0.000204  0.001427     2.534
   1.30855  0.27212 -0.05983 -1.02338  0.000535  0.000211  0.001382     2.533
   1.32477  0.28835 -0.05998 -1.02587  0.000558  0.000219  0.001310     2.546
   1.34107  0.30465 -0.06000 -1.02775  0.000582  0.000227  0.001244     2.558
   1.35744  0.32102 -0.05991 -1.02956  0.000602  0.000235  0.001198     2.563
   1.37387  0.33745 -0.05970 -1.03091  0.000624  0.000243  0.001149     2.571
   1.39036  0.35394 -0.05938 -1.03156  0.000648  0.000251  0.001090     2.585
   1.40691  0.37047 -0.05897 -1.03217  0.000670  0.000258  0.001048     2.592
   1.42350  0.38706 -0.05846 -1.03248  0.000692  0.000266  0.001005     2.600
   1.44014  0.40368 -0.05786 -1.03254  0.000714  0.000274  0.000964     2.609
   1.45681  0.42035 -0.05717 -1.03230  0.000737  0.000281  0.000923     2.620
   1.47353  0.43705 -0.05640 -1.03204  0.000759  0.000289  0.000890     2.627
   1.49028  0.45378 -0.05556 -1.03152  0.000781  0.000296  0.000854     2.636
   1.50707  0.47054 -0.05464 -1.03080  0.000804  0.000304  0.000819     2.646
   1.52388  0.48732 -0.05365 -1.02997  0.000827  0.000311  0.000788     2.656
   1.54072  0.50413 -0.05260 -1.02908  0.000849  0.000319  0.000759     2.664
   1.55759  0.52096 -0.05148 -1.02807  0.000872  0.000326  0.000731     2.673
   1.57448  0.53781 -0.05030 -1.02684  0.000896  0.000334  0.000701     2.685
   1.59139  0.55468 -0.04906 -1.02575  0.000918  0.000341  0.000679     2.691
   1.60832  0.57156 -0.04777 -1.02438  0.000942  0.000349  0.000652     2.702
   1.62527  0.58845 -0.04642 -1.02299  0.000965  0.000356  0.000627     2.713
   1.64224  0.60536 -0.04502 -1.02150  0.000990  0.000363  0.000603     2.724
   1.65922  0.62228 -0.04357 -1.01993  0.001014  0.000371  0.000579     2.735
   1.67621  0.63921 -0.04208 -1.01833  0.001039  0.000378  0.000557     2.746
