#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.69322  0.65614 -0.04054 -1.01662  0.001064  0.000386  0.000534     2.759
   1.71023  0.67308 -0.03895 -1.01484  0.001090  0.000393  0.000512     2.773
   1.72725  0.69002 -0.03732 -1.01292  0.001118  0.000401  0.000488     2.789
   1.74428  0.70697 -0.03564 -1.01099  0.001145  0.000408  0.000466     2.804
   1.76131  0.72392 -0.03393 -1.00884  0.001176  0.000416  0.000440     2.826
   1.77835  0.74086 -0.03217 -1.00669  0.001207  0.000424  0.000417     2.845
   1.79539  0.75781 -0.03037 -1.00429  0.001243  0.000432  0.000390     2.873
   1.81243  0.77475 -0.02853 -1.00185  0.001278  0.000441  0.000364     2.901
   1.82946  0.79168 -0.02665 -0.99916  0.001321  0.000449  0.000333     2.939
   1.84650  0.80860 -0.02474 -0.99635  0.001367  0.000458  0.000302     2.981
   1.86352  0.82551 -0.02278 -0.99337  0.001419  0.000468  0.000268     3.033
   1.88053  0.84241 -0.02078 -0.99013  0.001482  0.000478  0.000228     3.103
   1.89753  0.85928 -0.01874 -0.98681  0.001553  0.000488  0.000188     3.186
   1.91448  0.87610 -0.01667 -0.98340  0.001638  0.000498  0.000145     3.290
   1.93135  0.89284 -0.01456 -0.97999  0.001739  0.000508  0.000100     3.423
   1.94809  0.90945 -0.01243 -0.97681  0.001849  0.000518  0.000060     3.572
   1.96459  0.92581 -0.01029 -0.97392  0.001966  0.000527  0.000026     3.733
   1.98062  0.94170 -0.00817 -0.97140  0.002061  0.000535  0.000006     3.854
   1.99587  0.95681 -0.00611 -0.96925  0.002091  0.000542  0.000005     3.860
   2.00992  0.97073 -0.00418 -0.94412  0.001918  0.000624  0.000200     3.072
   2.02239  0.98307 -0.00243 -0.91447  0.001773  0.000728  0.000628     2.436
   2.03317  0.99374 -0.00091 -0.88755  0.001818  0.000831  0.000875     2.186
   2.03947  0.99997 -0.00000 -0.84940  0.002586  0.001007  0.000390     2.567
   2.03947  1.00007 -0.00000  0.84940  0.014613  0.006683  0.000000     2.187
   2.04576  1.00637  0.00001  0.86566  0.012140  0.006194  0.000000     1.960
   2.05315  1.01376  0.00006  0.87626  0.010908  0.005911  0.000000     1.845
   2.06182  1.02242  0.00014  0.88703  0.009884  0.005648  0.000000     1.750
   2.07198  1.03259  0.00025  0.89765  0.009026  0.005409  0.000000     1.669
   2.08390  1.04450  0.00041  0.90798  0.008299  0.005193  0.000000     1.598
   2.09788  1.05848  0.00064  0.91781  0.007679  0.005001  0.000000     1.535
   2.11427  1.07487  0.00094  0.92699  0.007149  0.004834  0.000000     1.479
   2.13350  1.09409  0.00133  0.93544  0.006694  0.004688  0.000000     1.428
   2.15604  1.11664  0.00185  0.94316  0.006299  0.004561  0.000000     1.381
   2.18249  1.14307  0.00253  0.95017  0.005956  0.004452  0.000000     1.338
   2.21351  1.17408  0.00340  0.95653  0.005656  0.004357  0.000000     1.298
   2.24988  1.21044  0.00452  0.96227  0.005394  0.004274  0.000000     1.262
   2.29255  1.25308  0.00595  0.96745  0.005164  0.004202  0.000000     1.229
   2.34258  1.30308  0.00777  0.97210  0.004965  0.004140  0.000000     1.199
   2.40127  1.36172  0.01007  0.97626  0.004793  0.004085  0.000000     1.173
   2.47009  1.43048  0.01297  0.97995  0.004647  0.004038  0.000000     1.151
   2.55081  1.51112  0.01661  0.98320  0.004523  0.003997  0.000000     1.131
   2.64548  1.60567  0.02115  0.98604  0.004420  0.003963  0.000000     1.115
   2.75650  1.71656  0.02681  0.98849  0.004334  0.003933  0.000000     1.102
   2.88672  1.84658  0.03383  0.99059  0.004265  0.003908  0.000000     1.091
   3.03944  1.99906  0.04250  0.99252  0.004206  0.003885  0.000000     1.083
